type,latency(ms),packetLoss(%),bandwidth(Mbps),connection_type,qos
cellular,133,2.36,47.01,server,Good
cellular,196,2.5,19.0,p2p,Fair
wifi,28,0.03,271.53,server,Good
cellular,175,1.48,32.28,server,Good
cellular,159,2.69,26.77,p2p,Fair
wifi,435,4.12,7.25,p2p,Poor
wifi,16,0.07,248.88,p2p,Excellent
wifi,61,0.3,46.08,p2p,Good
wifi,1528,13.07,21.81,p2p,Poor
wifi,322,4.29,18.85,server,Good
wifi,125,0.11,55.88,p2p,Fair
cellular,61,0.35,147.71,server,Good
cellular,155,2.74,10.92,server,Good
cellular,945,7.82,9.09,server,Fair
cellular,834,8.51,6.3,server,Fair
cellular,57,0.24,172.93,server,Good
wifi,221,1.5,8.06,server,Fair
wifi,24,0.09,246.02,p2p,Excellent
cellular,116,0.98,11.5,server,Good
cellular,187,0.63,13.92,p2p,Poor
wifi,135,0.61,30.69,p2p,Fair
cellular,86,1.83,20.91,p2p,Fair
cellular,179,1.66,17.67,p2p,Fair
wifi,96,0.77,84.18,server,Good
wifi,123,0.14,27.87,server,Good
wifi,134,0.24,40.75,server,Good
wifi,285,3.76,15.35,p2p,Poor
wifi,143,0.12,50.15,p2p,Fair
wifi,16,0.08,239.13,server,Good
wifi,663,13.05,6.41,server,Poor
wifi,419,4.18,18.58,p2p,Poor
cellular,186,2.18,19.28,p2p,Fair
wifi,18,0.07,115.87,p2p,Excellent
cellular,40,0.29,129.3,server,Good
cellular,66,0.39,61.91,p2p,Good
wifi,98,0.62,30.64,server,Good
cellular,79,0.41,168.26,server,Good
wifi,47,0.1,161.42,p2p,Excellent
cellular,58,0.07,107.39,server,Good
wifi,66,0.11,49.91,server,Good
cellular,512,5.41,3.79,server,Poor
cellular,98,2.48,49.15,p2p,Fair
wifi,33,0.04,190.72,server,Good
wifi,500,9.68,45.61,server,Fair
cellular,217,3.55,9.36,server,Fair
wifi,16,0.05,153.97,server,Good
wifi,103,0.94,74.47,p2p,Good
cellular,440,3.29,7.35,server,Fair
wifi,116,0.41,41.31,p2p,Good
cellular,52,0.02,143.46,p2p,Excellent
cellular,875,3.58,3.57,p2p,Poor
wifi,33,0.08,231.07,p2p,Excellent
cellular,73,0.05,119.55,p2p,Good
wifi,3471,6.05,38.25,p2p,Poor
wifi,84,0.53,30.42,server,Good
wifi,3165,2.24,49.32,p2p,Poor
cellular,184,2.24,32.41,server,Good
wifi,485,3.75,15.14,server,Fair
cellular,142,2.38,28.86,server,Good
wifi,74,0.19,56.37,p2p,Good
wifi,133,0.66,60.46,server,Good
wifi,80,0.79,81.89,server,Good
wifi,2933,12.26,19.16,server,Poor
wifi,382,4.9,17.77,p2p,Poor
cellular,116,2.15,47.5,server,Good
wifi,306,2.62,21.49,p2p,Poor
wifi,392,2.12,21.33,p2p,Poor
cellular,158,1.05,23.01,p2p,Fair
cellular,79,0.09,136.7,p2p,Good
wifi,493,3.68,1.19,server,Poor
wifi,52,0.94,79.63,p2p,Good
cellular,156,2.86,17.97,p2p,Fair
wifi,372,2.45,14.45,server,Good
wifi,62,0.53,75.36,server,Good
cellular,628,6.31,2.5,p2p,Poor
wifi,52,0.41,91.71,p2p,Good
wifi,1507,5.93,13.76,p2p,Poor
wifi,117,0.46,82.0,server,Good
wifi,279,3.54,4.58,p2p,Poor
cellular,59,0.39,69.13,server,Good
cellular,849,5.99,9.03,server,Fair
wifi,45,0.04,298.98,server,Good
cellular,178,2.15,14.7,server,Good
wifi,3078,14.96,28.61,p2p,Poor
cellular,162,0.51,42.65,server,Good
wifi,42,0.03,156.62,p2p,Excellent
cellular,375,9.48,5.67,p2p,Poor
wifi,89,0.76,82.31,server,Good
wifi,106,0.33,97.25,server,Good
wifi,56,0.74,64.62,p2p,Good
cellular,193,0.67,33.46,server,Good
cellular,128,0.6,10.92,p2p,Poor
wifi,498,1.12,14.02,server,Fair
cellular,87,1.74,15.41,p2p,Fair
wifi,31,0.02,148.31,server,Good
wifi,819,7.03,6.16,p2p,Poor
cellular,319,6.38,6.54,server,Fair
cellular,71,0.14,178.95,p2p,Good
wifi,38,0.07,207.57,server,Good
wifi,43,0.03,213.36,p2p,Excellent
cellular,181,2.62,15.36,server,Good
cellular,100,2.15,33.41,server,Good
cellular,445,9.08,6.14,p2p,Poor
wifi,33,0.09,165.6,server,Good
cellular,885,7.17,6.59,p2p,Poor
cellular,121,1.35,45.22,server,Good
cellular,141,0.99,14.67,p2p,Poor
wifi,118,0.15,99.08,server,Good
wifi,458,1.73,6.46,server,Fair
cellular,77,0.17,178.71,server,Good
cellular,41,0.05,50.12,p2p,Good
wifi,463,2.73,5.61,server,Fair
wifi,144,0.54,31.88,p2p,Fair
wifi,460,2.53,22.33,server,Fair
cellular,99,1.97,18.26,p2p,Fair
cellular,906,3.67,5.65,server,Fair
wifi,58,0.41,32.76,server,Good
cellular,763,6.21,9.35,p2p,Poor
wifi,63,0.53,77.58,server,Good
wifi,3182,4.28,40.06,server,Poor
cellular,967,9.77,2.08,server,Poor
wifi,271,3.97,9.14,server,Fair
wifi,281,3.81,21.86,server,Good
wifi,455,4.0,24.6,p2p,Poor
wifi,45,0.0,235.11,server,Good
wifi,96,0.6,65.47,p2p,Good
cellular,51,0.35,78.15,p2p,Good
wifi,3145,0.62,8.67,server,Poor
wifi,481,2.09,3.79,p2p,Poor
cellular,900,9.56,9.16,p2p,Poor
wifi,103,0.18,85.51,server,Good
cellular,197,1.45,37.22,server,Good
cellular,59,0.15,145.21,server,Good
cellular,455,6.17,1.21,p2p,Poor
cellular,367,8.11,6.13,p2p,Poor
wifi,132,0.31,26.04,p2p,Fair
cellular,66,0.1,80.58,server,Good
wifi,398,2.68,4.47,server,Poor
cellular,496,8.61,3.97,server,Poor
cellular,96,2.13,10.63,p2p,Poor
cellular,514,6.61,6.74,p2p,Poor
wifi,204,2.44,4.3,server,Poor
cellular,113,2.54,41.27,server,Good
cellular,46,0.31,168.66,server,Good
cellular,170,2.74,33.99,server,Good
wifi,139,0.56,44.24,p2p,Fair
cellular,590,5.58,2.38,server,Poor
cellular,126,2.34,11.89,p2p,Poor
cellular,111,0.53,38.85,p2p,Fair
cellular,514,7.94,3.47,server,Poor
cellular,94,2.63,25.23,p2p,Fair
cellular,104,2.39,33.76,server,Good
wifi,1957,3.53,27.98,p2p,Poor
cellular,55,0.0,151.9,server,Good
wifi,218,1.72,8.66,p2p,Poor
cellular,179,2.9,12.21,p2p,Poor
cellular,123,0.79,17.48,server,Good
wifi,100,0.35,97.48,server,Good
cellular,121,2.48,28.19,p2p,Fair
wifi,47,0.05,242.34,server,Good
wifi,53,0.73,58.8,p2p,Good
cellular,684,4.64,2.0,server,Poor
wifi,1533,0.11,44.08,server,Poor
cellular,149,2.69,26.41,p2p,Fair
wifi,66,0.67,44.99,server,Good
cellular,632,5.27,4.37,p2p,Poor
cellular,313,6.63,5.12,p2p,Poor
wifi,134,0.87,77.71,p2p,Fair
wifi,113,0.75,25.3,server,Good
wifi,3105,0.2,47.72,server,Poor
wifi,57,0.15,66.62,p2p,Good
cellular,66,0.34,127.03,p2p,Good
wifi,3129,14.37,11.1,server,Poor
wifi,120,0.1,30.6,server,Good
wifi,55,0.22,84.61,server,Good
wifi,491,4.0,3.43,server,Poor
cellular,347,4.31,9.04,p2p,Poor
wifi,494,3.18,21.16,p2p,Poor
cellular,678,4.43,5.85,p2p,Poor
cellular,151,2.96,26.81,server,Good
wifi,2752,12.68,28.4,server,Poor
wifi,3134,10.6,33.91,p2p,Poor
wifi,17,0.07,296.82,p2p,Excellent
cellular,44,0.16,194.26,server,Good
cellular,155,0.96,38.9,p2p,Fair
cellular,250,7.54,1.36,server,Poor
wifi,1880,4.12,5.13,p2p,Poor
cellular,104,2.32,21.03,server,Good
cellular,80,2.52,20.76,server,Good
wifi,90,0.69,31.64,server,Good
cellular,45,0.46,58.08,server,Good
wifi,83,0.42,72.58,p2p,Good
wifi,483,1.84,13.7,p2p,Poor
wifi,45,0.04,253.58,server,Good
cellular,145,2.26,18.2,p2p,Fair
wifi,127,0.69,60.08,server,Good
wifi,223,3.29,19.97,p2p,Fair
cellular,120,1.69,15.17,server,Good
cellular,45,0.17,116.28,p2p,Excellent
cellular,150,0.71,18.82,p2p,Fair
cellular,168,0.83,32.94,p2p,Fair
wifi,68,0.77,47.92,p2p,Good
wifi,399,3.75,16.76,p2p,Poor
wifi,263,4.86,23.27,p2p,Poor
wifi,136,0.54,75.23,p2p,Fair
cellular,150,2.94,23.52,server,Good
wifi,1692,10.43,5.76,p2p,Poor
cellular,542,5.25,6.96,server,Fair
wifi,2760,0.58,15.79,server,Poor
wifi,102,0.97,58.65,server,Good
cellular,63,0.4,196.48,server,Good
cellular,50,0.23,191.51,p2p,Good
cellular,140,0.59,35.03,p2p,Fair
wifi,168,4.61,10.92,p2p,Poor
cellular,849,8.92,7.81,p2p,Poor
cellular,176,1.18,26.14,server,Good
cellular,198,1.81,28.8,p2p,Fair
cellular,94,2.35,43.62,server,Good
cellular,582,7.93,9.45,p2p,Poor
wifi,346,4.5,9.95,server,Fair
wifi,328,3.38,19.04,server,Good
cellular,134,2.72,13.8,p2p,Poor
wifi,125,0.79,92.38,server,Good
cellular,596,4.89,5.33,server,Fair
cellular,145,1.35,48.78,p2p,Fair
cellular,158,2.51,20.73,server,Good
cellular,180,1.5,29.59,server,Good
cellular,91,2.58,46.6,p2p,Fair
wifi,106,0.77,27.08,p2p,Fair
wifi,118,0.68,61.54,p2p,Good
wifi,76,0.7,55.94,p2p,Good
cellular,731,6.27,5.49,server,Fair
cellular,102,2.26,36.21,p2p,Fair
wifi,104,0.74,31.26,p2p,Fair
wifi,209,2.69,3.66,server,Poor
cellular,84,2.76,43.65,server,Good
wifi,31,0.04,107.85,server,Good
wifi,143,0.98,36.93,p2p,Fair
wifi,408,4.59,22.15,server,Fair
wifi,425,2.53,20.21,server,Fair
cellular,956,3.15,5.57,p2p,Poor
cellular,173,1.68,36.09,p2p,Fair
cellular,111,1.49,28.9,p2p,Fair
cellular,105,2.76,38.05,server,Good
cellular,174,2.37,27.87,server,Good
wifi,2703,8.52,35.25,p2p,Poor
wifi,394,3.31,10.92,p2p,Poor
cellular,132,0.77,14.04,p2p,Poor
wifi,393,1.14,14.33,server,Good
wifi,67,0.32,77.14,server,Good
wifi,130,0.6,92.6,p2p,Fair
cellular,161,1.73,38.16,server,Good
cellular,48,0.22,97.15,server,Good
wifi,364,1.33,10.43,server,Good
cellular,95,2.81,36.08,p2p,Fair
cellular,87,2.62,47.02,server,Good
wifi,243,1.12,5.43,p2p,Poor
cellular,858,4.35,1.13,p2p,Poor
wifi,110,0.1,49.17,p2p,Good
wifi,3647,12.06,33.55,p2p,Poor
cellular,50,0.21,119.35,server,Good
wifi,39,0.07,157.45,p2p,Excellent
cellular,269,4.97,2.75,p2p,Poor
cellular,318,5.02,1.51,p2p,Poor
wifi,21,0.04,160.51,p2p,Excellent
cellular,286,4.4,8.4,p2p,Poor
wifi,123,0.35,58.29,server,Good
wifi,357,2.31,10.67,server,Good
cellular,496,9.17,4.1,p2p,Poor
wifi,421,1.07,20.56,p2p,Poor
wifi,407,3.13,7.72,p2p,Poor
wifi,197,3.07,1.08,server,Poor
cellular,163,0.66,20.96,p2p,Fair
wifi,149,0.67,56.93,server,Good
cellular,63,0.43,95.54,p2p,Good
wifi,104,0.61,94.31,server,Good
wifi,431,3.01,14.23,p2p,Poor
wifi,464,4.26,23.25,p2p,Poor
wifi,302,3.8,23.81,server,Good
wifi,1479,0.29,49.31,p2p,Poor
cellular,110,1.79,23.07,server,Good
wifi,3017,8.65,37.46,p2p,Poor
cellular,315,4.97,6.05,server,Fair
wifi,2464,5.02,27.29,p2p,Poor
wifi,356,2.41,23.61,p2p,Poor
wifi,630,12.03,45.33,server,Poor
cellular,146,2.98,20.85,p2p,Fair
cellular,119,2.19,35.97,server,Good
wifi,970,12.4,15.29,p2p,Poor
wifi,67,0.72,81.62,p2p,Good
cellular,105,2.59,34.28,p2p,Fair
wifi,45,0.1,193.39,p2p,Excellent
cellular,53,0.05,108.14,p2p,Excellent
wifi,2113,6.5,21.58,p2p,Poor
cellular,44,0.41,191.39,server,Good
cellular,57,0.16,139.21,server,Good
wifi,2813,2.71,5.48,server,Poor
cellular,135,2.76,20.57,p2p,Fair
wifi,169,3.46,3.14,p2p,Poor
cellular,149,0.76,29.28,server,Good
wifi,17,0.07,184.46,p2p,Excellent
cellular,170,1.34,38.14,server,Good
wifi,83,0.67,67.2,p2p,Good
cellular,958,5.66,8.15,server,Fair
wifi,186,1.17,12.86,server,Good
wifi,324,2.02,22.05,p2p,Poor
wifi,110,0.77,62.09,p2p,Good
wifi,305,2.35,10.5,server,Good
wifi,104,0.62,93.72,p2p,Good
cellular,933,4.33,5.84,server,Fair
cellular,321,8.26,6.49,server,Fair
wifi,179,4.72,17.35,p2p,Poor
cellular,287,6.23,9.23,p2p,Poor
wifi,85,0.33,37.83,p2p,Fair
wifi,397,1.12,13.17,p2p,Poor
wifi,122,0.69,26.34,server,Good
wifi,116,0.23,70.69,server,Good
cellular,155,2.66,32.5,server,Good
cellular,68,0.21,70.27,server,Good
wifi,78,0.6,75.91,server,Good
wifi,91,0.32,33.98,p2p,Fair
cellular,129,2.52,24.67,p2p,Fair
wifi,139,0.75,56.45,p2p,Fair
cellular,169,1.71,47.26,server,Good
cellular,62,0.45,120.12,server,Good
wifi,107,0.63,80.1,server,Good
wifi,88,0.36,25.53,p2p,Fair
wifi,231,1.52,24.92,server,Good
cellular,267,9.18,6.41,p2p,Poor
cellular,820,5.51,2.46,server,Poor
cellular,160,2.06,17.31,server,Good
wifi,23,0.03,146.9,server,Good
wifi,2251,12.81,13.85,p2p,Poor
wifi,65,0.34,92.89,p2p,Good
wifi,35,0.01,128.65,server,Good
cellular,479,6.81,4.13,server,Poor
wifi,360,2.76,4.54,server,Poor
wifi,44,0.02,277.28,server,Good
wifi,148,0.15,71.63,server,Good
cellular,91,1.75,27.5,p2p,Fair
cellular,105,2.49,34.22,server,Good
wifi,67,0.43,32.67,server,Good
wifi,37,0.08,166.99,server,Good
cellular,793,6.44,8.49,server,Fair
cellular,95,1.52,23.33,server,Good
wifi,441,3.53,14.89,p2p,Poor
wifi,49,0.03,171.13,p2p,Excellent
wifi,256,2.84,3.71,p2p,Poor
wifi,202,2.31,9.05,server,Fair
cellular,71,0.16,185.98,server,Good
wifi,134,0.54,95.93,p2p,Fair
wifi,29,0.08,187.63,server,Good
cellular,161,1.96,12.14,p2p,Poor
cellular,245,6.07,4.97,p2p,Poor
cellular,61,0.22,165.07,server,Good
cellular,119,2.68,28.02,p2p,Fair
wifi,108,0.59,67.84,p2p,Good
wifi,101,0.63,87.65,p2p,Good
cellular,132,0.95,13.15,server,Good
cellular,49,0.09,83.43,p2p,Excellent
wifi,1265,11.46,24.81,server,Poor
wifi,439,1.95,19.88,p2p,Poor
wifi,138,0.23,76.53,server,Good
cellular,84,1.55,42.11,server,Good
cellular,410,3.01,3.12,server,Poor
wifi,112,0.28,80.77,p2p,Good
wifi,148,0.72,69.19,server,Good
wifi,45,0.05,106.22,server,Good
wifi,337,4.16,14.67,server,Good
wifi,119,0.23,48.44,p2p,Good
wifi,16,0.05,186.01,server,Good
cellular,644,7.02,3.81,p2p,Poor
cellular,55,0.44,194.67,server,Good
cellular,163,2.47,25.64,server,Good
cellular,193,1.55,41.42,server,Good
cellular,542,4.76,9.03,p2p,Poor
cellular,121,1.25,47.44,p2p,Fair
wifi,3701,11.37,43.82,p2p,Poor
wifi,43,0.04,111.54,p2p,Excellent
cellular,72,0.26,74.28,server,Good
wifi,2485,1.54,17.53,server,Poor
wifi,282,3.88,7.73,p2p,Poor
cellular,439,8.75,1.4,server,Poor
cellular,545,5.32,7.07,server,Fair
cellular,91,1.27,45.09,server,Good
cellular,103,1.5,18.45,server,Good
wifi,18,0.02,231.11,p2p,Excellent
wifi,672,2.14,8.76,p2p,Poor
cellular,143,1.03,47.15,p2p,Fair
cellular,113,2.72,44.46,server,Good
wifi,392,4.74,19.27,server,Good
cellular,86,1.64,45.88,p2p,Fair
wifi,313,1.97,19.35,p2p,Poor
wifi,162,4.93,9.99,server,Fair
cellular,547,6.36,2.4,server,Poor
wifi,1525,2.66,16.28,p2p,Poor
wifi,3731,5.47,17.3,server,Poor
cellular,576,7.99,9.67,server,Fair
cellular,96,1.25,11.17,p2p,Poor
wifi,94,0.17,65.83,server,Good
cellular,72,0.22,117.23,p2p,Good
wifi,60,0.21,64.93,p2p,Good
wifi,124,0.6,73.18,p2p,Fair
wifi,376,3.13,9.79,p2p,Poor
cellular,744,7.59,3.04,p2p,Poor
cellular,550,8.58,1.97,server,Poor
cellular,289,3.1,1.32,server,Poor
cellular,187,1.06,23.23,server,Good
wifi,20,0.03,105.2,server,Good
wifi,251,4.99,15.95,server,Good
wifi,44,0.1,257.37,p2p,Excellent
wifi,110,0.78,71.69,p2p,Good
cellular,131,2.71,20.85,server,Good
wifi,198,4.43,14.58,p2p,Poor
wifi,84,0.44,70.4,server,Good
cellular,199,1.02,48.41,server,Good
wifi,185,3.97,9.55,p2p,Poor
wifi,40,0.0,137.35,p2p,Excellent
cellular,691,6.66,5.69,server,Fair
cellular,89,1.35,22.53,server,Good
wifi,109,0.51,91.9,p2p,Good
cellular,142,1.08,27.97,p2p,Fair
cellular,172,2.58,19.63,p2p,Fair
wifi,61,0.57,97.64,p2p,Good
wifi,43,0.03,155.43,server,Good
cellular,502,7.11,4.53,p2p,Poor
cellular,644,3.94,1.22,server,Poor
wifi,433,4.42,5.87,server,Fair
wifi,42,0.03,279.72,server,Good
cellular,84,2.37,41.97,p2p,Fair
wifi,51,0.78,93.6,server,Good
cellular,172,0.86,35.71,server,Good
wifi,70,0.33,29.28,server,Good
wifi,355,2.07,22.49,p2p,Poor
wifi,112,0.56,98.21,p2p,Good
wifi,57,0.15,39.96,p2p,Fair
cellular,684,6.28,6.77,server,Fair
wifi,3009,0.55,11.1,server,Poor
cellular,464,8.98,4.33,p2p,Poor
wifi,57,0.84,93.86,p2p,Good
wifi,353,3.55,3.2,server,Poor
wifi,18,0.04,295.23,server,Good
cellular,83,2.92,32.18,server,Good
cellular,171,1.02,41.46,p2p,Fair
cellular,154,2.99,23.26,server,Good
wifi,91,0.93,30.93,p2p,Fair
cellular,75,0.03,179.24,server,Good
cellular,362,4.59,2.7,p2p,Poor
wifi,35,0.0,271.75,p2p,Excellent
cellular,920,5.5,9.87,p2p,Poor
cellular,61,0.14,98.76,p2p,Good
wifi,58,0.68,47.06,server,Good
cellular,124,1.07,18.42,server,Good
wifi,425,1.8,6.5,p2p,Poor
wifi,446,1.52,16.34,server,Fair
cellular,916,9.45,7.19,server,Fair
cellular,125,2.78,43.98,p2p,Fair
wifi,111,0.82,63.45,server,Good
wifi,1154,3.19,47.85,server,Poor
wifi,212,3.07,13.84,p2p,Poor
cellular,254,9.77,2.48,server,Poor
cellular,106,2.52,32.47,p2p,Fair
wifi,25,0.02,229.03,p2p,Excellent
wifi,41,0.09,139.45,server,Good
wifi,75,0.79,62.09,server,Good
cellular,225,4.15,9.54,p2p,Poor
cellular,48,0.35,99.2,server,Good
cellular,153,1.96,17.24,p2p,Fair
wifi,147,0.73,52.2,p2p,Fair
wifi,87,0.94,59.7,server,Good
cellular,98,0.67,45.88,server,Good
cellular,561,6.03,5.23,p2p,Poor
wifi,410,4.8,8.63,server,Fair
wifi,20,0.07,237.32,server,Good
cellular,190,2.64,16.38,p2p,Fair
cellular,186,0.81,24.25,server,Good
cellular,560,9.26,2.07,server,Poor
wifi,22,0.09,111.78,p2p,Excellent
cellular,985,8.7,7.39,server,Fair
cellular,53,0.08,75.92,server,Good
wifi,57,0.3,50.82,p2p,Good
wifi,1222,14.53,34.75,server,Poor
cellular,138,2.07,49.21,p2p,Fair
wifi,128,0.98,46.72,p2p,Fair
wifi,107,0.69,29.45,server,Good
wifi,444,4.0,2.49,server,Poor
cellular,936,4.22,5.73,p2p,Poor
wifi,18,0.04,253.6,server,Good
wifi,433,3.09,23.61,server,Fair
cellular,103,1.63,11.4,server,Good
wifi,407,1.64,12.58,p2p,Poor
wifi,286,3.95,1.54,p2p,Poor
wifi,303,1.46,12.88,p2p,Poor
wifi,2137,5.91,43.7,server,Poor
wifi,48,0.04,114.06,p2p,Excellent
wifi,105,0.64,45.17,p2p,Good
cellular,56,0.27,116.96,server,Good
wifi,426,4.93,13.91,server,Fair
wifi,371,2.51,13.14,p2p,Poor
cellular,962,4.92,1.29,server,Poor
cellular,905,8.14,7.49,server,Fair
wifi,323,1.67,7.1,server,Fair
wifi,38,0.05,102.32,p2p,Excellent
wifi,264,2.29,9.17,p2p,Poor
wifi,392,1.22,1.58,p2p,Poor
cellular,111,1.98,39.07,server,Good
wifi,142,0.68,91.39,p2p,Fair
wifi,136,0.36,40.04,p2p,Fair
cellular,99,2.56,11.78,p2p,Poor
wifi,88,0.84,49.91,p2p,Good
wifi,101,0.35,58.05,p2p,Good
wifi,40,0.0,292.85,server,Good
wifi,139,0.52,38.12,p2p,Fair
wifi,3606,6.32,38.33,server,Poor
wifi,386,4.71,1.76,server,Poor
cellular,76,0.19,142.04,p2p,Good
wifi,78,0.76,35.55,server,Good
wifi,21,0.02,139.25,server,Good
cellular,49,0.33,144.19,server,Good
wifi,418,3.46,18.73,p2p,Poor
wifi,50,0.7,25.4,p2p,Fair
wifi,147,0.72,94.34,server,Good
wifi,128,0.9,65.6,server,Good
cellular,270,9.57,8.26,server,Fair
wifi,133,0.64,98.5,server,Good
wifi,104,0.25,53.04,server,Good
wifi,128,0.68,53.9,server,Good
wifi,130,0.6,75.68,p2p,Fair
cellular,199,2.57,43.04,server,Good
wifi,2561,4.12,11.05,p2p,Poor
wifi,51,0.81,76.02,server,Good
cellular,549,5.21,2.95,p2p,Poor
cellular,151,2.39,18.17,p2p,Fair
wifi,110,0.75,51.61,server,Good
wifi,138,0.17,77.07,server,Good
cellular,71,0.07,88.39,p2p,Good
wifi,23,0.05,237.6,p2p,Excellent
wifi,149,0.9,84.23,p2p,Fair
cellular,121,1.22,21.97,p2p,Fair
cellular,130,0.89,42.28,server,Good
cellular,109,0.89,45.63,server,Good
cellular,678,7.57,8.49,p2p,Poor
wifi,71,0.49,48.0,p2p,Good
wifi,88,0.13,42.03,server,Good
wifi,175,4.46,2.09,server,Poor
wifi,415,1.16,18.29,p2p,Poor
cellular,126,1.82,41.89,server,Good
cellular,146,0.55,10.24,p2p,Poor
cellular,175,0.86,32.2,server,Good
cellular,106,0.82,35.65,server,Good
wifi,60,0.8,93.67,server,Good
cellular,637,6.63,4.73,p2p,Poor
wifi,79,0.35,85.92,server,Good
cellular,475,6.18,4.7,server,Poor
wifi,290,3.58,12.49,p2p,Poor
cellular,114,2.44,29.85,server,Good
wifi,38,0.03,143.07,server,Good
cellular,60,0.11,62.65,server,Good
wifi,119,0.26,75.72,p2p,Good
wifi,157,2.59,16.31,p2p,Fair
wifi,270,2.67,19.62,p2p,Poor
cellular,463,3.71,7.6,server,Fair
wifi,474,2.1,5.6,server,Fair
cellular,100,2.82,30.06,server,Good
wifi,53,0.29,69.53,server,Good
cellular,531,8.86,5.22,p2p,Poor
cellular,138,2.95,39.19,p2p,Fair
wifi,48,0.08,147.03,p2p,Excellent
cellular,268,6.52,7.77,server,Fair
wifi,110,0.13,88.08,server,Good
cellular,701,5.77,4.13,server,Poor
cellular,988,6.26,1.98,p2p,Poor
cellular,189,1.1,23.95,server,Good
wifi,337,2.33,11.38,server,Good
cellular,191,2.95,18.89,p2p,Fair
wifi,49,0.07,132.64,p2p,Excellent
wifi,134,0.25,31.3,p2p,Fair
cellular,843,7.33,2.36,server,Poor
cellular,413,7.95,5.54,p2p,Poor
wifi,118,0.48,54.21,server,Good
cellular,188,1.49,22.49,server,Good
wifi,1065,7.08,23.53,p2p,Poor
wifi,59,0.82,71.88,server,Good
wifi,425,1.75,24.02,server,Fair
cellular,390,6.23,9.52,p2p,Poor
cellular,63,0.31,193.56,server,Good
cellular,140,2.91,43.94,p2p,Fair
cellular,84,0.97,16.17,p2p,Fair
wifi,2152,2.16,17.63,server,Poor
cellular,60,0.25,50.44,server,Good
cellular,51,0.23,73.71,p2p,Good
cellular,56,0.13,106.05,server,Good
wifi,31,0.08,217.35,p2p,Excellent
cellular,161,2.57,18.18,p2p,Fair
wifi,3543,9.12,37.99,server,Poor
wifi,22,0.07,219.61,server,Good
cellular,148,0.98,46.25,server,Good
cellular,58,0.09,75.37,p2p,Good
wifi,148,0.71,90.77,server,Good
cellular,199,2.02,49.55,server,Good
cellular,516,6.77,7.19,p2p,Poor
wifi,233,4.09,17.09,p2p,Poor
cellular,89,2.97,46.92,server,Good
cellular,123,1.67,32.05,server,Good
cellular,82,2.82,34.57,server,Good
cellular,844,8.16,1.17,server,Poor
wifi,70,0.59,84.37,p2p,Good
wifi,385,4.32,20.09,p2p,Poor
cellular,140,2.71,47.85,p2p,Fair
cellular,180,1.62,49.58,server,Good
wifi,168,2.88,10.85,server,Good
wifi,117,0.89,32.56,p2p,Fair
wifi,24,0.03,256.9,server,Good
wifi,112,0.57,36.4,p2p,Fair
wifi,23,0.09,171.91,p2p,Excellent
wifi,55,0.67,91.37,server,Good
wifi,34,0.03,140.1,p2p,Excellent
cellular,168,2.01,30.83,server,Good
wifi,53,0.94,86.13,p2p,Good
cellular,139,2.81,27.17,server,Good
cellular,460,3.83,7.73,p2p,Poor
wifi,71,0.93,62.22,p2p,Good
cellular,153,1.61,25.51,server,Good
wifi,126,0.97,79.94,server,Good
cellular,193,2.03,35.55,p2p,Fair
wifi,57,0.59,62.91,server,Good
wifi,463,1.98,5.07,p2p,Poor
wifi,45,0.06,193.21,p2p,Excellent
wifi,2103,13.87,21.6,p2p,Poor
cellular,103,0.51,21.48,server,Good
cellular,674,3.4,6.75,p2p,Poor
wifi,91,0.69,97.84,p2p,Good
wifi,81,0.41,57.02,server,Good
cellular,71,0.26,134.56,server,Good
wifi,16,0.06,252.02,server,Good
wifi,252,2.96,12.97,p2p,Poor
wifi,451,4.81,16.33,server,Fair
wifi,31,0.07,205.49,p2p,Excellent
cellular,47,0.13,105.68,server,Good
wifi,217,1.14,14.26,p2p,Poor
cellular,607,8.28,5.88,p2p,Poor
wifi,112,0.62,66.41,server,Good
cellular,56,0.1,119.81,server,Good
wifi,403,3.07,4.51,server,Poor
wifi,98,0.31,61.76,server,Good
cellular,748,7.33,5.23,server,Fair
wifi,1551,6.62,28.18,p2p,Poor
wifi,218,2.82,14.77,server,Good
wifi,108,0.96,98.19,server,Good
cellular,734,4.89,9.25,p2p,Poor
wifi,102,0.18,73.14,server,Good
cellular,46,0.11,178.9,server,Good
wifi,78,0.54,88.08,p2p,Good
cellular,515,7.59,9.4,p2p,Poor
wifi,318,2.62,15.33,server,Good
cellular,484,7.64,5.28,server,Fair
cellular,43,0.04,98.12,server,Good
wifi,439,1.59,14.4,p2p,Poor
cellular,90,2.87,30.36,p2p,Fair
wifi,194,2.86,13.48,p2p,Poor
wifi,127,0.65,32.72,server,Good
wifi,27,0.02,137.51,server,Good
cellular,48,0.43,68.23,server,Good
cellular,174,1.46,21.63,p2p,Fair
cellular,53,0.01,142.57,server,Good
cellular,46,0.3,122.08,p2p,Good
wifi,327,1.88,6.53,p2p,Poor
cellular,792,9.45,3.26,p2p,Poor
cellular,620,8.3,7.02,p2p,Poor
cellular,156,2.55,20.85,server,Good
cellular,107,2.21,20.28,server,Good
wifi,223,2.92,2.68,server,Poor
wifi,68,0.45,70.28,server,Good
cellular,62,0.47,162.4,server,Good
cellular,78,0.07,139.25,p2p,Good
cellular,481,9.21,4.04,p2p,Poor
wifi,46,0.09,180.44,server,Good
